"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei, relatief";"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal"
"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"per 1 000 inwoners";"aantal"
"Alphen-Chaam";"2019";"10149";"109";"5,3";"2610"
"Alphen-Chaam";"2020";"10203";"110";"16,7";"2750"
"Alphen-Chaam";"2021";"10373";"111";"5,0";"2740"
"Alphen-Chaam";"2022";"10425";"112";"3,6";"2710"
"Alphen-Chaam";"2023";"10463";"113";"";""
"Alphen-Chaam";"2024";"10492";"";"";""
"Altena";"2019";"55386";"276";"10,5";"12870"
"Altena";"2020";"55967";"279";"6,9";"13420"
"Altena";"2021";"56352";"281";"11,7";"13330"
"Altena";"2022";"57009";"285";"12,6";"13430"
"Altena";"2023";"57726";"289";"";""
"Altena";"2024";"58293";"";"";""
"Baarle-Nassau";"2019";"6847";"90";"1,8";"2110"
"Baarle-Nassau";"2020";"6859";"90";"5,8";"2190"
"Baarle-Nassau";"2021";"6899";"91";"4,6";"2160"
"Baarle-Nassau";"2022";"6931";"91";"20,2";"2190"
"Baarle-Nassau";"2023";"7071";"93";"";""
"Baarle-Nassau";"2024";"7077";"";"";""
"Bergen op Zoom";"2019";"66811";"836";"10,3";"19860"
"Bergen op Zoom";"2020";"67496";"844";"0,3";"20690"
"Bergen op Zoom";"2021";"67514";"844";"5,6";"20250"
"Bergen op Zoom";"2022";"67894";"849";"14,3";"20110"
"Bergen op Zoom";"2023";"68864";"861";"";""
"Bergen op Zoom";"2024";"69663";"";"";""
"Breda";"2019";"183873";"1462";"1,1";"45270"
"Breda";"2020";"184069";"1464";"0,3";"47710"
"Breda";"2021";"184126";"1464";"3,1";"45820"
"Breda";"2022";"184702";"1469";"9,4";"45200"
"Breda";"2023";"186438";"1483";"";""
"Breda";"2024";"188217";"";"";""
"Drimmelen";"2019";"27150";"285";"4,5";"7180"
"Drimmelen";"2020";"27272";"287";"1,9";"7480"
"Drimmelen";"2021";"27325";"287";"5,5";"7460"
"Drimmelen";"2022";"27476";"289";"18,9";"7440"
"Drimmelen";"2023";"27994";"295";"";""
"Drimmelen";"2024";"28193";"";"";""
"Etten-Leur";"2019";"43774";"792";"2,4";"11450"
"Etten-Leur";"2020";"43878";"793";"-0,2";"11880"
"Etten-Leur";"2021";"43869";"793";"6,5";"11790"
"Etten-Leur";"2022";"44152";"799";"9,6";"11850"
"Etten-Leur";"2023";"44578";"806";"";""
"Etten-Leur";"2024";"45232";"";"";""
"Geertruidenberg";"2019";"21515";"808";"1,3";"5580"
"Geertruidenberg";"2020";"21544";"809";"10,5";"5870"
"Geertruidenberg";"2021";"21770";"817";"8,0";"5800"
"Geertruidenberg";"2022";"21944";"825";"7,1";"5780"
"Geertruidenberg";"2023";"22099";"831";"";""
"Geertruidenberg";"2024";"22061";"";"";""
"Halderberge";"2019";"30194";"405";"3,0";"8580"
"Halderberge";"2020";"30284";"407";"4,8";"8930"
"Halderberge";"2021";"30430";"409";"11,2";"8900"
"Halderberge";"2022";"30770";"413";"8,8";"8830"
"Halderberge";"2023";"31041";"417";"";""
